Year,படம்,பாடல்,இசையமைப்பாளர்,Note
2025,நிலவுக்கு என் மேல் என்னடி கோபம்,Kalloorum,ஜி. வி. ப்ரகாஷ் குமார்,
2025,நிலவுக்கு என் மேல் என்னடி கோபம்,Aaathi Adi Aaathi,ஜி. வி. ப்ரகாஷ் குமார்,
2025,நிலவுக்கு என் மேல் என்னடி கோபம்,Ayla Allela,ஜி. வி. ப்ரகாஷ் குமார்,
,,,,
2025,ரெட்ரோ,கண்ணாடி பூவே,சந்தோஷ் நாராயணன்,
2025,ரெட்ரோ,கணிமா,சந்தோஷ் நாராயணன்,
2025,ரெட்ரோ,தி வன்,சந்தோஷ் நாராயணன்,
2025,ரெட்ரோ,Edharkaga Marubadi,சந்தோஷ் நாராயணன்,
,,,,
2025,மாமன்,"All songs except ""Vizhuthe Thalavizhuthe""",ஹெஷாம் அப்துல் வஹாப்,
2025,3 பி.எச்.கே,Kaanalin Mele,Amrit Ramnath,
2025,தனல்,Kitta Nerungadha,ஜஸ்டின் ப்ரபாகரன்,
2025,டியூட்,Nallaru Po,சாய் அப்யங்கர்,
2025,மார்க்,Masth Malaika,B. Ajaneesh Loknath,Tamil version
,,,,
2026,கருப்பு,Raathu Raasan,சாய் அப்யங்கர்,
,,,,
2026,ஜன நாயகன்,Oru Pere Varalaaru,அனிருத் ரவிச்சந்தர்,
2026,ஜன நாயகன்,Chella Magale,அனிருத் ரவிச்சந்தர்,
2026,ஜன நாயகன்,Raavana Mavandaa,அனிருத் ரவிச்சந்தர்,
2026,ஜன நாயகன்,,அனிருத் ரவிச்சந்தர்,
2026,ஜன நாயகன்,,அனிருத் ரவிச்சந்தர்,
,,,,
2026,பெட்டி,Chikiri Chikiri,ஏ. ஆர். ரஹ்மான்,Tamil version
2026,பெட்டி,Rai Rai Raa Raa,ஏ. ஆர். ரஹ்மான்,
,,,,
,,,,
,Music Video,,Artist,
2024,TVK FLAG ANTHEM,,Arivu,
2025,Sithira Puthiri,,Sai Abhyankkar,
2026,Pavazha Malli,,Sai Abhyankkar,
2026,TVK Election Song - Kadaisi Nambikkai,,Thaman,
